borrower_id,program,loan_amount,transaction_date,amount,category,merchant,description,owner_related,documentation,risk_score,audit_flag,label,label_reason
NF001,PPP,94000,2021-02-05,14200.00,payroll,ADP Payroll,gross wages for covered pay period,false,payroll_report,0.04,false,allowed,Documented employee payroll
NF001,PPP,94000,2021-02-08,3100.00,health_benefits,Blue Cross,employee health plan premium,false,invoice_and_bank_statement,0.06,false,allowed,Employer benefit cost
NF001,PPP,94000,2021-02-12,5200.00,rent,Market Street Offices,monthly office rent,false,lease_and_canceled_check,0.07,false,allowed,Business rent with support
NF001,PPP,94000,2021-02-16,880.00,utilities,City Electric,business electric bill,false,utility_invoice,0.04,false,allowed,Business utility expense
NF001,PPP,94000,2021-02-19,13950.00,payroll,ADP Payroll,gross wages for covered pay period,false,payroll_report,0.04,false,allowed,Documented employee payroll
NF002,EIDL,175000,2021-07-01,8400.00,rent,Warehouse Park LLC,warehouse lease payment,false,lease_and_bank_statement,0.08,false,allowed,Normal operating rent
NF002,EIDL,175000,2021-07-05,2600.00,utilities,Regional Power,business utility bill,false,invoice_and_bank_statement,0.05,false,allowed,Normal operating utility
NF002,EIDL,175000,2021-07-09,11200.00,inventory,Industrial Supply Co,replacement inventory for open orders,false,invoice_and_receipt,0.12,false,allowed,Working capital inventory expense
NF002,EIDL,175000,2021-07-16,4900.00,accounts_payable,Packaging Vendor Inc,past due packaging invoices,false,invoice_and_check,0.10,false,allowed,Ordinary payable tied to operations
NF002,EIDL,175000,2021-07-22,3300.00,insurance,Commercial Mutual,business liability insurance,false,invoice_and_bank_statement,0.09,false,allowed,Ordinary insurance cost
NF003,PPP,62000,2021-03-03,10100.00,payroll,Gusto Payroll,employee wages,false,payroll_report,0.05,false,allowed,Eligible payroll
NF003,PPP,62000,2021-03-10,2300.00,rent,Northside Retail Center,storefront rent,false,lease_and_receipt,0.07,false,allowed,Eligible rent
NF003,PPP,62000,2021-03-12,640.00,utilities,FastNet Internet,business internet service,false,utility_invoice,0.05,false,allowed,Business utility service
NF003,PPP,62000,2021-03-17,10350.00,payroll,Gusto Payroll,employee wages,false,payroll_report,0.05,false,allowed,Eligible payroll
NF003,PPP,62000,2021-03-24,1200.00,health_benefits,Delta Dental,employee dental premium,false,invoice_and_bank_statement,0.06,false,allowed,Employer health benefit cost
NF004,EIDL,120000,2021-09-02,7200.00,accounts_payable,Food Distributor Inc,past due supplier invoice,false,invoice_and_check,0.11,false,allowed,Normal payable for operations
NF004,EIDL,120000,2021-09-08,4100.00,rent,Main Kitchen LLC,commercial kitchen rent,false,lease_and_bank_statement,0.08,false,allowed,Normal operating rent
NF004,EIDL,120000,2021-09-15,1900.00,utilities,City Water,business water bill,false,invoice_and_bank_statement,0.05,false,allowed,Normal operating utility
NF004,EIDL,120000,2021-09-20,5600.00,inventory,Restaurant Supply Co,replacement food inventory,false,invoice_and_receipt,0.12,false,allowed,Working capital for normal operations
NF004,EIDL,120000,2021-09-27,2400.00,insurance,Statewide Insurance,commercial property insurance,false,invoice_and_bank_statement,0.08,false,allowed,Ordinary business insurance
